City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,hirara,24.8,125.2833,290.32,54,0,6.51,JP,1707667848
163,rice lake,45.5061,-91.7382,273.33,74,75,5.66,US,1707667848
164,egersund,58.4513,5.9997,277.64,78,100,15.75,NO,1707667848
165,puerto colombia,10.9878,-74.9547,305.2,72,17,9.01,CO,1707667848
166,carutapera,-1.195,-46.02,302.4,69,78,3.56,BR,1707667751
167,chibougamau,49.9168,-74.3659,264.94,79,100,3.6,CA,1707667849
168,sitka,57.0531,-135.33,278.09,70,100,9.77,US,1707667849
169,glenwood,41.5425,-87.6023,276.53,72,0,2.06,US,1707667849
170,paradip garh,20.3167,86.6167,295.18,59,1,3.45,IN,1707667849
171,puerto baquerizo moreno,-0.9,-89.6,300.7,83,75,3.6,EC,1707667816
172,kirensk,57.7853,108.1119,263.69,94,87,1.34,RU,1707667849
173,karratha,-20.7377,116.8463,300.79,83,0,7.56,AU,1707667696
174,la gi,10.6667,107.7833,295.92,70,14,3.43,VN,1707667849
175,taoudenni,22.6783,-3.9836,304.08,17,2,3.58,ML,1707667850
176,tofol,5.3248,163.0078,300.77,74,100,9.56,FM,1707667850
177,okhotsk,59.3833,143.3,241.88,90,89,2.24,RU,1707667850
178,ust'-kut,56.7938,105.7672,262.84,81,85,6.26,RU,1707667850
179,albertina,-22.2008,-46.6158,303.84,34,9,3.18,BR,1707667850
180,yallahs,17.8748,-76.5624,302.45,58,53,2.65,JM,1707667850
181,daye,30.0833,114.95,285.08,62,0,3.45,CN,1707667850
182,kuzma,46.8369,16.0833,284.87,91,100,1.1,SI,1707667851
183,hithadhoo,-0.6,73.0833,301.01,76,87,5.55,MV,1707667851
184,tarinkot,32.6268,65.8733,283.6,28,100,0.75,AF,1707667851
185,keflavik,64.0049,-22.5624,273.39,59,0,8.75,IS,1707667851
186,salair,54.2312,85.7972,256.66,94,99,4.91,RU,1707667851
187,mkushi,-13.6202,29.3939,295.66,69,85,2.23,ZM,1707667851
188,ghat,24.9647,10.1728,302.33,7,0,2.91,LY,1707667851
189,yuzhno-kurilsk,44.0306,145.8556,265.58,81,42,2.26,RU,1707667851
190,roma,43.2128,-75.4557,277.01,79,100,2.24,US,1707667852
191,piacabucu,-10.4056,-36.4344,302.87,66,89,4.84,BR,1707667852
192,valparaiso,-33.0393,-71.6273,302.12,58,40,5.66,CL,1707667846
193,santana,-0.0583,-51.1817,298.25,94,100,4.12,BR,1707667852
194,buri,-23.7975,-48.5928,307.91,27,15,1.94,BR,1707667852
195,boise,43.6135,-116.2035,274.45,76,0,5.66,US,1707667572
196,petropavlovsk-kamchatsky,53.0452,158.6483,255.62,81,39,3.58,RU,1707667852
197,esil,51.9556,66.4042,253.51,94,6,3.57,KZ,1707667852
198,jeju city,33.5097,126.5219,279.88,64,2,4.67,KR,1707667644
199,port lincoln,-34.7333,135.8667,291.19,85,0,2.02,AU,1707667853
200,richards bay,-28.783,32.0377,296.8,62,77,3.9,ZA,1707667853
201,olinda,-8.0089,-34.8553,305.0,66,40,4.63,BR,1707667750
202,san pedro de ycuamandiyu,-24.0917,-57.0764,309.37,37,82,3.81,PY,1707667853
203,berriane,32.8265,3.7669,293.6,22,18,8.45,DZ,1707667853
204,mujiayingzi,42.1167,118.7833,270.41,44,0,3.39,CN,1707667853
205,waingapu,-9.6567,120.2641,299.62,87,100,3.49,ID,1707667854
206,la ronge,55.1001,-105.2842,264.27,86,75,1.54,CA,1707667854
207,rio grande,-32.035,-52.0986,304.21,40,13,3.43,BR,1707667568
208,oriximina,-1.7656,-55.8661,306.22,50,80,2.87,BR,1707667854
209,ongjin,37.9347,125.3619,272.6,60,0,1.51,KP,1707667854
210,kingscliff,-28.2667,153.5667,298.0,83,75,7.2,AU,1707667854
211,sakaiminato,35.55,133.2333,280.3,56,97,9.99,JP,1707667854
212,remire-montjoly,4.9167,-52.2667,302.17,70,75,5.66,GF,1707667854
213,kudahuvadhoo,2.6708,72.8944,300.96,80,100,7.11,MV,1707667855
214,ekuvukeni,-28.4675,30.1551,296.11,53,0,4.99,ZA,1707667855
215,ghanzi,-21.5667,21.7833,304.34,31,92,5.53,BW,1707667855
216,olonkinbyen,70.9221,-8.7187,269.62,64,100,6.56,SJ,1707667855
217,shihezi,44.3,86.0333,266.48,83,54,1.93,CN,1707667855
218,alofi,-19.0595,-169.9187,300.73,82,100,6.49,NU,1707667855
219,nema,57.5067,50.5011,254.2,99,100,2.12,RU,1707667855
220,gewane,10.1664,40.6453,306.15,33,5,4.13,ET,1707667856
221,jamestown,42.097,-79.2353,274.92,83,100,3.09,US,1707667598
222,xuanzhou,30.9525,118.7553,281.03,65,0,2.2,CN,1707667856
223,thompson,55.7435,-97.8558,258.75,95,100,1.66,CA,1707667856
224,labytnangi,66.6572,66.4183,243.05,92,19,2.4,RU,1707667856
225,auna,10.1881,4.7232,309.07,13,36,2.78,NG,1707667856
226,sarbogard,46.8869,18.6204,284.94,82,100,3.47,HU,1707667856
227,kununurra,-15.7667,128.7333,298.14,94,65,2.57,AU,1707667856
228,tumbes,-3.5667,-80.4414,301.12,83,75,2.06,PE,1707667857
229,malango,-2.9627,119.9001,295.79,100,100,1.34,ID,1707667857
230,carnarvon,-24.8667,113.6333,298.49,78,0,9.1,AU,1707667857
231,chonchi,-42.6128,-73.8092,292.77,56,91,1.62,CL,1707667857
232,kaitong,44.8135,123.15,265.24,78,33,6.36,CN,1707667857
233,blairgowrie,56.5916,-3.3405,279.79,86,100,1.34,GB,1707667857
234,hotan,37.0997,79.9269,275.96,48,68,2.24,CN,1707667857
235,adi keyh,14.8444,39.3772,287.41,74,27,3.32,ER,1707667857
236,moapa valley,36.5805,-114.4703,280.19,46,2,1.84,US,1707667858
237,enewetak,11.3474,162.3373,299.45,75,90,10.9,MH,1707667858
238,kodiak,57.79,-152.4072,273.88,93,100,4.12,US,1707667858
239,cadale,2.7603,46.3222,299.56,82,9,8.09,SO,1707667858
240,isoka,-10.1606,32.6335,292.96,91,94,0.92,ZM,1707667858
241,cabo san lucas,22.8909,-109.9124,292.32,70,0,1.54,MX,1707667737
242,badger,64.8,-147.5333,268.29,79,100,2.06,US,1707667858
243,tolanaro,-25.0319,46.9987,298.82,90,100,4.74,MG,1707667858
244,xinyang,32.1228,114.0656,281.37,73,0,2.77,CN,1707667859
245,hobyo,5.3505,48.5268,299.85,74,25,6.98,SO,1707667859
246,afaahiti,-17.75,-149.2833,299.08,90,100,11.41,PF,1707667859
247,qarchi gak,37.04,66.7889,287.23,31,93,4.13,AF,1707667859
248,island harbour,50.724,-1.2758,284.22,77,65,4.02,GB,1707667859
249,sydney mines,46.2367,-60.2177,278.85,93,100,4.63,CA,1707667859
250,lakatoro,-16.0999,167.4164,299.47,83,26,2.85,VU,1707667859
251,rouyn-noranda,48.2398,-79.0288,266.2,79,100,3.09,CA,1707667733
252,sao tome,0.3365,6.7273,302.37,71,100,1.25,ST,1707667860
253,velika kladusa,45.1894,15.8117,285.23,86,100,1.31,BA,1707667860
254,posto fiscal rolim de moura,-13.0833,-62.2667,297.65,97,100,1.29,BR,1707667860
255,armacao de buzios,-22.7469,-41.8817,305.18,70,43,8.99,BR,1707667860
256,utrik,11.2278,169.8474,299.01,72,98,11.53,MH,1707667860
257,broome,42.2506,-75.833,276.8,83,100,3.6,US,1707667860
258,akom ii,2.7833,10.5667,302.93,57,100,3.25,CM,1707667861
259,svitlovods'k,49.0489,33.2411,280.51,94,100,4.18,UA,1707667861
260,egilsstadir,65.2653,-14.3948,272.27,96,100,5.31,IS,1707667861
261,dzhambeyty,50.2536,52.595,257.1,90,90,3.8,KZ,1707667861
262,ancud,-41.8697,-73.8203,289.01,72,90,3.9,CL,1707667861
263,cururupu,-1.8283,-44.8683,301.09,72,98,2.34,BR,1707667861
264,ormara,25.2088,64.6357,295.43,54,86,2.51,PK,1707667861
265,mount isa,-20.7333,139.5,298.02,83,59,2.57,AU,1707667862
266,vadso,70.0744,29.7487,257.24,85,100,4.63,NO,1707667862
267,fort st. john,56.2499,-120.8529,266.28,96,53,1.51,CA,1707667659
268,palu,-0.8917,119.8707,297.69,97,99,0.88,ID,1707667862
269,ta`u,-14.2336,-169.5144,301.8,80,100,5.7,AS,1707667862
270,borgarnes,64.5383,-21.9206,268.6,79,71,4.36,IS,1707667862
271,tsiombe,-25.3,45.4833,299.3,85,64,3.34,MG,1707667863
272,upington,-28.4478,21.2561,310.79,7,1,5.28,ZA,1707667863
273,weno,7.4515,151.8468,301.12,69,40,4.12,FM,1707667863
274,kropyvnytskyi,48.5132,32.2597,282.19,90,100,5.77,UA,1707667863
275,chattanooga,35.0456,-85.3097,287.17,92,100,3.6,US,1707667628
276,whitehorse,60.7161,-135.0538,267.49,79,74,0.45,CA,1707667863
277,magadan,59.5667,150.8,244.0,80,97,2.63,RU,1707667864
278,kutulik,53.3508,102.7839,266.76,92,100,4.37,RU,1707667864
279,havre,49.5833,0.3333,282.78,87,100,7.72,FR,1707667864
